category,subcategory,product_name,price
Tools,Spanners,Tolsen 15mm Ratchet Combination Spanner,45.00
Tools,Spanners,Tolsen 16mm Ratchet Combination Spanner,50.00
Tools,Spanners,Tolsen 18mm Ratchet Combination Spanner,65.00
Tools,Spanners,Tolsen 21mm Combination Spanner,33.00
Tools,Spanners,Tolsen 19mm Combination Spanner,28.00
Tools,Spanners,Tolsen 14mm Combination Spanner,19.00
Tools,Spanners,Tolsen 12mm Combination Spanner,17.00
Tools,Spanners,Tolsen 10mm Combination Spanner,14.00
Tools,Spanners,Tolsen 8mm Combination Spanner,14.00
Tools,Spanners,Tolsen ¼” Combination Spanner,12.00
Tools,Spanners,Tolsen ⅜” Combination Spanner,14.00
Tools,Spanners,Tolsen ⁷⁄₁₆” Combination Spanner,15.00
Tools,Spanners,Tolsen ⁹⁄₁₆” Combination Spanner,18.00
Tools,Spanners,Tolsen ¾” Combination Spanner,25.00
Tools,Spanners,Tolsen ⅞” Combination Spanner,30.00
Tools,Spanners,Tolsen 1″ Combination Spanner,45.00
Tools,Spanners,Ferrawyy 24mm Combination Spanner,32.00
Tools,Spanners,Ferrawyy 22mm Combination Spanner,25.00
Tools,Spanners,Total 8Pcs Combination Spanner Set,110.00
Tools,Wrenches,Total 14″ Industrial Pipe Wrench,99.00
Tools,Wrenches,Total 12″ Industrial Pipe Wrench,85.00
Tools,Wrenches,Total 8″ Industrial Pipe Wrench,49.00
Tools,Wrenches,Tolsen 14mm T-Type Wrench,22.00
Tools,Wrenches,Tolsen 12″ Adjustable Crescent Wrench,99.00
Tools,Wrenches,Tolsen 10″ Adjustable Crescent Wrench,75.00
Tools,Wrenches,Tolsen 6″ Adjustable Crescent Wrench,40.00
Tools,Wrenches,Tolsen 15″ Adjustable Crescent Wrench,150.00
Tools,Wrenches,Tolsen 12″ Adjustable Crescent Wrench,95.00
Tools,Wrenches,Covo 10″ Industrial Pipe Wrench,75.00
Tools,Wrenches,Covo 8″ Industrial Pipe Wrench,60.00
Tools,Basin Wrench,Truper ½”-1″ Basin Wrench,80.00
Tools,Soldering Iron,Truper 60w Heavy Duty Soldering Iron,69.00
Tools,Wire Stripper,Total 7″ Wire Stripper 0.5-6mm,70.00
Tools,Pliers,Tolsen 8.5″ Wire Stripping & Crimping Pilers,55.00
Tools,Pliers,Tolsen 7.3″ Modular Crimping Pliers 6p/8p,120.00
Tools,Chuck Key,Tolsen 16mm Chuck Key,22.00
Tools,Chuck Key,Tolsen 10mm Chuck Key,15.00
Tools,Measuring Tapes,Total 16ft Steel Measuring Tape,38.00
Ladders,,Truper 8ft A-Frame Ladder 175Kg,995.00
Ladders,,Truper 10ft A-Frame Ladder 175Kg,"1,095.00"
Ladders,,Truper 3ft Step Ladder 150Kg,375.00
Tools,Measuring Tapes,Tolsen 165ft Fiberglass Measuring Tape,115.00
Tools,Measuring Tapes,Tolsen 66ft Fiberglass Measuring Tape,49.00
Tools,Levels,Tolsen 60″ Industrial Level,170.00
Tools,Levels,Tolsen 48″ Heavy Duty Magnetic Level,190.00
Tools,Levels,Tolsen 40″ Heavy Duty Magnetic Level,160.00
Guttering,,6″ Round PVC Guttering w/ Stop & Down Outlet 4″,240.00
Guttering,,6″ Round PVC Guttering w/ Stop & Down Outlet 2″,240.00
Guttering,,6″ Round PVC Guttering w/ Stop End,240.00
Guttering,,6″ Round PVC Guttering,220.00
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 12ft,252
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 13ft,273
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 14ft,294
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 15ft,315
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 16ft,336
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 17ft,357
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 18ft,378
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 19ft,399
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 20ft,420
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 21ft,441
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 22ft,462
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 23ft,483
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 24ft,504
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 25ft,525
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 26ft,546
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 27ft,567
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 28ft,588
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 29ft,609
Roofing,Galvanize Sheets,Nu Wave Galvanized Sheet 26G 30ft,630
Tools,Levels,Tolsen 24″ Heavy Duty Magnetic Level,115.00
Tools,Measuring Tapes,Tolsen 33ft Measuring Tape,68.00
Tools,Measuring Tapes,Tolsen 16ft Measuring Tape,42.00
Tools,Measuring Tapes,Tolsen 10ft Measuring Tape,24.00
Tools,Angle Square,Tolsen 16″x24″ Angle Square,70.00
Tools,Angle Square,Tolsen 8″x12″ Angle Square,39.00
Tools,Combination Square,Stanley Combination Square 12″,65.00
Tools,Measuring Tapes,Onsite 16ft Measuring Tape,24.00
Tools,Measuring Tapes,G-Works 30ft Steel Tape,65.00
Tools,Chalk Line,Best Value Blue Chalk Line Reel 100ft,35.00
Tools,Screwdrivers,Hoteche 6pcs Precision Screwdriver Set,30.00
Tools,Screwdrivers,Worksite 6pcs Precision Screwdriver Set,35.00
Tools,Pneumatic Tools,Best Value ¼” NPT Coupler & Plug Set,59.00
Tools,Pneumatic Tools,Uyustools 5pc ¼” NPT Steel Coupler & Plug Set,59.00
Tools,Pneumatic Tools,Total Air Spray Gun 600cc,195.00
Tools,Pneumatic Tools,Total Air Spray Gun 400cc,125.00
Tools,Pneumatic Tools,Tolsen PVC Air Hose 15m,225.00
Tools,Pneumatic Tools,Tolsen Air Blow Gun,45.00
Tools,Pneumatic Tools,Tolsen ¼” NPT Female Steel Pipe Coupling,15.00
Tools,Pneumatic Tools,Tolsen ¼” NPT Male Steel Industrial Plug,15.00
Tools,Pneumatic Tools,Tolsen ¼” NPT Male Steel Pipe Coupling,15.00
Tools,Pneumatic Tools,Tolsen ¼” NPT Male Steel Industrial Coupler,35.00
Tools,Pneumatic Tools,Tolsen ¼” NPT Female Steel Industrial Plug,15.00
Tools,Pneumatic Tools,Ingco Air Hose 15m,130.00
Plumbing,PVC Ball Valves,"PVC Ball Valve (½”,¾”,1″,1½”,2″,3″) 1/2""",10
Plumbing,PVC Ball Valves,"PVC Ball Valve (½”,¾”,1″,1½”,2″,3″) 3/4""",12
Plumbing,PVC Ball Valves,"PVC Ball Valve (½”,¾”,1″,1½”,2″,3″) 1""",20
Plumbing,PVC Ball Valves,"PVC Ball Valve (½”,¾”,1″,1½”,2″,3″) 1 1/4""",30
Plumbing,PVC Ball Valves,"PVC Ball Valve (½”,¾”,1″,1½”,2″,3″) 1 1/2""",30
Plumbing,PVC Ball Valves,"PVC Ball Valve (½”,¾”,1″,1½”,2″,3″) 2""",48
Plumbing,PVC Ball Valves,"PVC Ball Valve (½”,¾”,1″,1½”,2″,3″) 3""",195
Plumbing,CPVC,"CPVC Ball Valve (½”,¾”) 1/2""",20
Plumbing,CPVC,"CPVC Ball Valve (½”,¾”) 3/4""",22
Plumbing,PVC Wye,"PVC Wye (2″,3″,4″) 2""",20
Plumbing,PVC Wye,"PVC Wye (2″,3″,4″) 3""",35
Plumbing,PVC Wye,"PVC Wye (2″,3″,4″) 4""",40
Plumbing,WC-Connector,90° WC-Connector,90.00
Plumbing,WC-Connector,Offset WC-Connector,40.00
Plumbing,Plug and Adapter,"PVC Plug & Adapter (1½”, 2″, 3″, 4″, 6″) 1 1/2""",8
Plumbing,Plug and Adapter,"PVC Plug & Adapter (1½”, 2″, 3″, 4″, 6″) 2""",10
Plumbing,Plug and Adapter,"PVC Plug & Adapter (1½”, 2″, 3″, 4″, 6″) 3""",22
Plumbing,Plug and Adapter,"PVC Plug & Adapter (1½”, 2″, 3″, 4″, 6″) 4""",22
Plumbing,Plug and Adapter,"PVC Plug & Adapter (1½”, 2″, 3″, 4″, 6″) 6""",60
Plumbing,Union Ball Valve,"PVC Union Ball Valve (½”, ¾”, 1″) 1/2""",42
Plumbing,Union Ball Valve,"PVC Union Ball Valve (½”, ¾”, 1″) 3/4""",42
Plumbing,Union Ball Valve,"PVC Union Ball Valve (½”, ¾”, 1″) 1""",58
Plumbing,Threaded Fittings,1″ x ¾” PVC Threaded Reducer,5.00
Plumbing,Threaded Fittings,1″ x ¾” PVC Threaded Reducer,5.00
Plumbing,Threaded Fittings,1″ PVC Threaded Elbow,5.00
Plumbing,PVC Check Valve,1″ PVC Check Valve,35.00
Plumbing,Cross-tee,"PVC Cross-Tee (½”, ¾”, 1″, 1½”, 2″) 1/2""",5
Plumbing,Cross-tee,"PVC Cross-Tee (½”, ¾”, 1″, 1½”, 2″) 3/4""",6
Plumbing,Cross-tee,"PVC Cross-Tee (½”, ¾”, 1″, 1½”, 2″) 1""",7
Plumbing,Cross-tee,"PVC Cross-Tee (½”, ¾”, 1″, 1½”, 2″) 1 1/2""",15
Plumbing,Cross-tee,"PVC Cross-Tee (½”, ¾”, 1″, 1½”, 2″) 2""",20
Plumbing,Threaded Fittings,1″ x ½” PVC Threaded Reducer,5.00
Plumbing,Foot Valve,1¼” PVC Foot Valve,25.00
Plumbing,Foot Valve,1½” PVC Foot Valve,40.00
Plumbing,Cleanout Traps,1½” PVC Cleanout Trap,24.00
Plumbing,WC-Connector,Straight WC-Connector,40.00
Plumbing,Water Tanks,Rotoplastics Tuff Tank 1000 Gallon Water Tank,"2,195.00"
Plumbing,Water Tanks,Rotoplastics Tuff Tank 800 Gallon Water Tank,"1,850.00"
Plumbing,Water Tanks,Rotoplastics Tuff Tank 650 Gallon Water Tank,"1,499.00"
Plumbing,Water Tanks,Rotoplastics Tuff Tank 450 Gallon Water Tank,875.00
Plumbing,,"½” Galvanize Nipple 12""",25
Plumbing,,"½” Galvanize Nipple 14""",28
Plumbing,,"½” Galvanize Nipple 16""",32
Ceiling,Gypsum Board,½” Gypsum Board 4’x8′ Sheet,99.00
Steel,I-Beam/H-Beam,2″ x 4″ x 20′ I Beam/H Beam,345.00
Steel,I-Beam/H-Beam,2″ x 3″ x 20′ I Beam/H Beam,320.00
Roofing,Wall Angle,1″ x 1″ x 10′ Imported Wall Angle 26g Painted w/ Stiffener,24.00
Roofing,Wall Angle,2″ x 2″ x 10′ Aluzinc Wall Angle 26g w/ Stiffener,60.00
Roofing,Wall Angle,2″ x 3″ x 10′ Aluzinc Wall Angle 26g,70.00
Roofing,Wall Angle,2″ x 2″ x 10′ Aluzinc Wall Angle 26g,60.00
Masonry,Concrete Mix,TCL Eco Cement 21.3kg,30.00
Roofing,Drip Edge,2″ x 2″ x 10′ Drip Edge 26g,90.00
Roofing,Wall Flashing,4″ x 6″ x ½” x 10′ Wall Flashing 26g,130.00
Lumber,Cedar Strip,Triangular Cedar Strip 10ft,20.00
Lumber,Cedar Strip,Quarter Round Cedar Strip 10ft,20.00
Lumber,Cedar Strip,Half Round Cedar Strip 10ft,20.00
Lumber,Cedar Strip,Flat Cedar Strip 10ft,20.00
Lumber,Cedar Strip,Flat Groove Cedar Strip 10ft,20.00
Furring Channel,,Aluminum C – Channel (12ft/16ft) 12ft,30
Furring Channel,,Aluminum C – Channel (12ft/16ft) 16ft,45
Furring Channel,,Furring Channel 12ft,28.00
Masonry,Concrete Mix,Micro Milling Plaster Mix,45.00
Tool Accesories,Drill Bits,Uyustools ⅜” Concrete Drill Bit,20.00
Tool Accesories,Drill Bits,Total Masonry 5pc Drill Bit Set,35.00
Power Tools,Power Drills,Total Impact Drill 680W,375.00
Power Tools,Power Drills,Total Impact Drill 850W,425.00
Power Tools,Power Drills,Total Industrial Impact Drill 1050W,799.00
Power Tools,Power Drills,IngCo Rotary Hammer Drill 800W,695.00
Power Tools,Power Drills,IngCo Industrial Rotary Hammer Drill 1050W,695.00
Tool Accesories,Drill Bits,Deewal Masonry ³⁄₁₆” Carbide Drill Bit,8.00
Tools,Pneumatic Tools,IngCo 2.2mm Pneumatic/Air Concrete Nail Gun,695.00
Tool Accesories,Drill Bits,Stein Masonry ¾” SDS Plus Drill Bit,79.00
Tool Accesories,Drill Bits,Stein Masonry 1″ SDS Plus Drill Bit,70.00
Tool Accesories,Drill Bits,Total 80mm Masonry Hole Core Bit,190.00
Tool Accesories,Drill Bits,Total 40mm Masonry Hole Core Bit,175.00
Tool Accesories,Drill Bits,Total 30mm Masonry Hole Core Bit,150.00
Tool Accesories,Drill Bits,Makita ⅜” Carbide SDS Plus Masonry Drill Bit,30.00
Tool Accesories,Drill Bits,Makita ¼” Carbide SDS Plus Masonry Drill Bit,24.00
Tool Accesories,Drill Bits,Makita ⁷⁄₁₆” Carbide SDS Plus Masonry Drill Bit,35.00
Tool Accesories,Drill Bits,Makita ⁵⁄₁₆” Carbide SDS-Plus Masonry Drill Bit,28.00
Masonry,Concrete Treatment,UGL DRYLOK Curing Membrane & Penetrating Sealer,350.00
Masonry,Masonry Tools,Paint/Thinset Mixer 55cm x 10cm,45.00
Masonry,Masonry Tools,Truper Paint/Thinset Mixer 55cm x 10cm,45.00
Fasteners,Wall Plugs,⅜” Orange Wall Plug Anchor,0.60
Fasteners,Wall Plugs,⁵⁄₁₆” Blue Wall Plug Anchor,0.30
Fasteners,Wall Plugs,¼” Green Wall Plug Anchor,0.25
Tool Accesories,Drill Bits,Makita ⅞” Carbide SDS-Plus Masonry Drill Bit,70.00
Masonry,Concrete Treatment,Moss Away Moss Remover 1L,25.00
Masonry,Concrete Treatment,Christle Lye Crystals 1260g,65.00
Masonry,Concrete Treatment,Christle Lye Crystals 600g,40.00
Masonry,Concrete Treatment,Christle Pure Lye Liquid 500ml,20.00
Masonry,Concrete Treatment,Christle Pure Lye Liquid 1000ml,35.00
Masonry,Cement Binder,Original Poly V7 Cement Binder 4L,145.00
Masonry,Cement Binder,Original Poly V7 Cement Binder 1L,45.00
Masonry,Masonry Tools,20cm x 36cm Foam Masonry Float,75.00
Masonry,Masonry Tools,18cm x 32cm Foam Masonry Float,55.00
Masonry,Masonry Tools,14cm x 28cm Foam Masonry Float,38.00
Fasteners,Concrete Screws,"Concrete Nails (¾”~4″) ¾""",10
Fasteners,Concrete Screws,"Concrete Nails (¾”~4″) 1""",12
Fasteners,Concrete Screws,"Concrete Nails (¾”~4″) 1½""",15
Fasteners,Concrete Screws,"Concrete Nails (¾”~4″) 2""",23
Fasteners,Concrete Screws,"Concrete Nails (¾”~4″) 2½""",27
Fasteners,Concrete Screws,"Concrete Nails (¾”~4″) 3""",42
Fasteners,Concrete Screws,"Concrete Nails (¾”~4″) 4""",55
Fasteners,Concrete Screws,Concrete Screw ³⁄₁₆” x 1¼” Countersunk,1
Fasteners,Concrete Screws,"Concrete Screw ³⁄₁₆” x 1¼” 5/16"" Nut set",1
Fasteners,Concrete Screws,Concrete Screw ³⁄₁₆” x 1¾”,1.50
Fasteners,Concrete Screws,Concrete Screw ¼” x 1¾” Countersunk,2.5
Fasteners,Concrete Screws,"Concrete Screw ¼” x 1¾” 5/16"" Nut set",2.5
Fasteners,Concrete Screws,Concrete Screw ¼” x 1¼” Countersunk,2
Fasteners,Concrete Screws,"Concrete Screw ¼” x 1¼” 5/16"" Nut set",2
Tool Accesories,Drill Bits,Makita ¾” Carbide SDS-Plus Masonry Drill Bit,58.00
Tool Accesories,Drill Bits,Makita ½” Carbide SDS-Plus Masonry Drill Bit,30.00
Masonry,Thin Set & Grout,Micro Milling Regular Thin Set,48.00
Tool Accesories,Saw Blade,Diesel Tools 4½” Saw Blade,35.00
Household,Bins,Touchless Pro Smart Bin 30L,550.00
Household,Bins,Touchless Pro Smart Bin 50L,625.00
Fasteners,Tacks,Silver Thumb Tacks 100pcs,15.00
Fasteners,Tacks,Gold Thumb Tacks 100pcs,20.00
Fasteners,Hit Anchors,Red Hit ¾” Trunking Nails 100pcs,55.00
Fasteners,Bolts,"¼” Steel Bolt & Nut (1″~4″) 4""",4
Fasteners,Bolts,"¼” Steel Bolt & Nut (1″~4″) 2""",2
Fasteners,Bolts,"¼” Steel Bolt & Nut (1″~4″) 1½""",1.5
Fasteners,Bolts,"¼” Steel Bolt & Nut (1″~4″) 1""",1
Fasteners,Hit Anchors,"¼” Hit-It Hammer Drive Anchor (1″~4″) 4""",3.5
Fasteners,Hit Anchors,"¼” Hit-It Hammer Drive Anchor (1″~4″) 3""",3
Fasteners,Hit Anchors,"¼” Hit-It Hammer Drive Anchor (1″~4″) 2½""",2.5
Fasteners,Hit Anchors,"¼” Hit-It Hammer Drive Anchor (1″~4″) 2""",2.25
Fasteners,Hit Anchors,"¼” Hit-It Hammer Drive Anchor (1″~4″) 1½""",2
Fasteners,Hit Anchors,"¼” Hit-It Hammer Drive Anchor (1″~4″) 1¼""",1.75
Fasteners,Hit Anchors,"¼” Hit-It Hammer Drive Anchor (1″~4″) 1""",1.25
Fasteners,Nails,"U-Nail Fencing Staples 1Lb 1/2""",25
Fasteners,Nails,"U-Nail Fencing Staples 1Lb 3/4""",25
Fasteners,Nails,"U-Nail Fencing Staples 1Lb 1""",25
Plumbing,CPVC,½” x ¾” CPVC Reducer SDR-11,3.00
Plumbing,PVC Reducers,1½” x1″ PVC Reducer SCH40,5.00
Plumbing,PVC Reducers,1½” x1¼” PVC Reducer SCH40,5.00
Plumbing,PVC Reducers,1¼” x ¾” PVC Reducer SCH40,5.00
Plumbing,PVC Reducers,1¼” x 1″ PVC Reducer SCH40,5.00
Plumbing,PVC Reducers,1″ x ½” PVC Reducer SCH40,3.00
Plumbing,PVC Reducers,1″ x ¾” PVC Reducer SCH40,3.00
Plumbing,PVC Reducers,2″ x ½” PVC Reducer SCH40,6.00
Plumbing,PVC Reducers,2″ x ¾” PVC Reducer SCH40,6.00
Plumbing,PVC Reducers,2″ x 1½” PVC Reducer SCH40,6.00
Plumbing,PVC Reducers,4″ x 2″ PVC Reducer SCH40,15.00
Plumbing,PVC Reducers,½” x ¾” PVC Reducer SCH40,2.00
Plumbing,PVC Reducers,1½” x ½” PVC Reducer SCH40,5.00
Safety,Respiratory Filter,Hunter Face Mask Respirator,35.00
Lumber,MDF,"Medium-Density Fiberboard (MDF) (¼” ⅜” ½” ⅝” ¾”) 4′ x 8′ Sheet 1/4""",120
Lumber,MDF,"Medium-Density Fiberboard (MDF) (¼” ⅜” ½” ⅝” ¾”) 4′ x 8′ Sheet 3/8""",150
Lumber,MDF,"Medium-Density Fiberboard (MDF) (¼” ⅜” ½” ⅝” ¾”) 4′ x 8′ Sheet 1/2""",195
Lumber,MDF,"Medium-Density Fiberboard (MDF) (¼” ⅜” ½” ⅝” ¾”) 4′ x 8′ Sheet 5/8""",220
Lumber,MDF,"Medium-Density Fiberboard (MDF) (¼” ⅜” ½” ⅝” ¾”) 4′ x 8′ Sheet 3/4""",275
Lumber,Hardboard,High-Density Fiberboard (HDF) Hardboard 4′ x 8′ Sheet,110.00
Chain Link,,6ft x 13½G Galvanized Chain Link Fence Wire (50ft/100ft) 50ft,699
Chain Link,,6ft x 13½G Galvanized Chain Link Fence Wire (50ft/100ft) 100ft,1199
Chain Link,,6ft x 12½G Galvanized Chain Link Fence Wire (50ft/100ft) 50ft,750
Chain Link,,6ft x 12½G Galvanized Chain Link Fence Wire (50ft/100ft) 100ft,1300
Chain Link,,4ft x 12½G x 50ft Galvanized Chain Link Fence Wire,600.00
Chain Link,,4ft x 13½G x 50ft Galvanized Chain Link Fence Wire,550.00
Steel,BRC,6″x6″x10G BRC Wire Mesh Roll (100ft),850
Steel,BRC,6″x6″x10G BRC Wire Mesh Half Roll (50ft),450
Steel,BRC,6″x6″x10G BRC Wire Mesh Yard (3ft),35
Steel,BRC,3″x3″x10G BRC Wire Mesh Roll (100ft),3300
Steel,BRC,3″x3″x10G BRC Wire Mesh Half Roll (50ft),1800
Steel,BRC,3″x3″x10G BRC Wire Mesh Yard (3ft),125
Garden,Lattice,3″x3″ Diamond Vinyl Lattice (Green/White/Brown) White,375
Garden,Lattice,3″x3″ Diamond Vinyl Lattice (Green/White/Brown) Green,375
Garden,Lattice,3″x3″ Diamond Vinyl Lattice (Green/White/Brown) Brown,375
Steel,Wire Mesh,½” Hexagonal 3′ x 19g Coated Wire Mesh 1yrd,35.00
Steel,Wire Mesh,½” Hexagonal 3′ x 19g Wire Mesh 1yrd,30.00
Steel,Wire Mesh,1″ x 1″ x 4′ x 19g Wire Mesh 1yrd,35.00
Steel,Wire Mesh,¾” x ¾” x 3′ x 19g Wire Mesh 1yrd,30.00
Steel,Wire Mesh,½” x 1″ x 3′ x 19g Wire Mesh 1yrd,30.00
Steel,Wire Mesh,½” x ½” x 3′ x 19g Coated Wire Mesh 1yrd,40.00
Steel,Wire Mesh,½” x ½” x 4′ x 19g Wire Mesh 1yrd,45.00
Steel,Wire Mesh,¼” x ¼” x 3′ x 19g Wire Mesh 1yrd,35.00
Garden,Hose Nozzle,FlowRite Fan Shower w/ Valve,38.00
Garden,Hose Nozzle,Gilmour Heavy Duty Swiveling Hose Nozzle,99.00
Garden,Hose Nozzle,Gilmour Medium Duty Hose Nozzle,38.00
Garden,Hose Nozzle,Gilmour Light Duty Interchangeable Hose Nozzle,45.00
Garden,Sprinkler,Best Garden Adjustable Impact Sprinkler,55.00
Garden,Sprinkler,Best Garden Adjustable Impact Sprinkler,50.00
Outdoors,Hoses,Kelos Xtra ½” Light Duty Garden Hose 75ft,220
Outdoors,Hoses,Kelos Xtra ½” Light Duty Garden Hose 25ft,125
Outdoors,Hoses,FlowRite ½” Garden Hose 100ft,220
Outdoors,Hoses,FlowRite ½” Garden Hose 75ft,190
Outdoors,Hoses,FlowRite ½” Garden Hose 50ft,150
Outdoors,Hoses,FlowRite ⅝” Heavy Duty Garden Hose 100ft,299
Outdoors,Hoses,FlowRite ⅝” Heavy Duty Garden Hose 50ft,180
Outdoors,Hoses,Boro Reforzada ½” Light Duty Garden Hose 100ft,260
Outdoors,Hoses,Boro Reforzada ½” Light Duty Garden Hose 50ft,170
Household,Hanging & Mounting,3M Command Hooks,24.00
Adhesives,Tapes,Gorilla Tough & Clear Mounting Tape,69.00
Putty,,Resisto Super Roof Repair 1kg,110.00
Putty,,CPML’S Multi-Bond Quart,70.00
Putty,,CPML’S Multi-Bond Gallon,215.00
Putty,,Humming Bird Metal Casement Putty 2kg,70.00
Putty,,Humming Bird Metal Casement Putty 1kg,40.00
Adhesives,Tapes,Dap Wallboard Joint Compound Quart,55.00
Adhesives,Tapes,Dap Wallboard Joint Compound Gallon,95.00
Outdoors,Hoses,Total 2Pcs Hose Quick Connectors Set,22.00
Outdoors,Hoses,Tolsen 4Pcs Hose Connector Set,32.00
Outdoors,Hoses,Tolsen Y-Switch Coupling With Valve ½”,25.00
Household,Hanging & Mounting,1lb Command Hooks,24.00
Adhesives,Tapes,Scotch Indoor Mounting Squares,22.00
Household,Hanging & Mounting,Scotch Double-Sided Indoor Mounting Tape,24.00
Garden,Sprinkler,Truper Metal Double-Stream Sprinkler,60.00
Outdoors,Hoses,Truper ¾” Male & Female Hose End Connector (⅝” Hose),30.00
Outdoors,Hoses,Truper ¾” Female Hose End Connector (⅝” Hose),18.00
Outdoors,Hoses,Pretul ¾” Male Hose End Connector (½” Hose),12.00
Outdoors,Hoses,Pretul ¾” Male & Female Hose End Connector (½” Hose),19.00
Outdoors,Hoses,Pretul ¾” Female Hose End Connector (½” Hose),14.00
Outdoors,Hoses,Hose Repair Male End,10.00
Outdoors,Hoses,Hose Repair Mender End,10.00
Outdoors,Hoses,Truper ¾” Female & Male Hose End Connector  (⅝” Hose),30.00
Outdoors,Hoses,Boro Waterflow ⅝” Garden Hose 100ft 100ft,469
Outdoors,Hoses,Boro Waterflow ⅝” Garden Hose 100ft 50ft,299
Outdoors,Hoses,Best Value ⅝” Reinforced Garden Hose 100ft,465.00
Outdoors,Hoses,Truper Expert ⅝” Anti-Kink Garden Hose 30m,475.00
Outdoors,Hoses,¾” Female Hose End Connector  (½” Hose),18.00
Doors,Hinges,4″ x 4″ Adjustable Tension Hinges,120.00
Doors,Hinges,Proval 3″ x 3″ Steel Hinges w/ Ball Bearings,34.00
Doors,Hinges,4″ Loose Pin Hinges,16.00
Doors,Hinges,4″ Gold Loose Pin Hinges,35.00
Doors,Hinges,4″ Gold Brushed Steel Heavy Hinges,35.00
Doors,Hinges,4″ Brushed Steel Heavy Hinges,35.00
Doors,Hinges,3″ x 2½” Nickle Plated Hinges w/ Ball Bearings,30.00
